text,label
"This text is part of the internal format of your mail folder, and is not
a real message.  It is created automatically by the mail system software.
If deleted, important folder data will be lost, and it will be re-created
with the data reset to initial values.

",1
"<br><div class=""gmail_quote""><div><blockquote type=""cite""><div class=""gmail_quote""><div class=""gmail_attr"" dir=""ltr""><div><br></div>
                <div><div id=""m_3052631533914239600m_8307636659004312332m_-1835174463846741356m_-8776400756138519200m_1060591085446223277m_-5364057556062311011ydpeba06609yiv0506173501""><div><div style=""DIRECTION:ltr;MIN-HEIGHT:345px"">
<div style=""font-size:16px;font-family:Arial,sans-serif;white-space:normal;word-spacing:0px;text-transform:none;font-weight:400;font-style:normal;text-align:center;padding-top:3px;padding-left:3px;letter-spacing:normal;padding-right:3px;text-indent:0px;text-decoration-style:initial;text-decoration-color:initial;color:rgb(0,0,0);background-color:rgb(255,255,255)"">
<p style=""margin-top:0px;color:rgb(33,37,41)""><b>Dear<span style=""color:rgb(34,34,34)""><span style=""color:rgb(0,0,255)"">, <a href=""mailto:jose@monkey.org"" rel=""noreferrer nofollow noopener"" target=""_blank"">jose@monkey.org</a></span></span></b><br></p>There are (4) failed emails in your inbox<br>Verify your information and get an email instantly sent to your email inbox</div><div style=""font-size:16px;font-family:Arial,sans-serif;white-space:normal;word-spacing:0px;text-transform:none;font-weight:400;font-style:normal;text-align:center;padding-top:3px;padding-left:3px;letter-spacing:normal;padding-right:3px;text-indent:0px;text-decoration-style:initial;text-decoration-color:initial;color:rgb(0,0,0);background-color:rgb(255,255,255)""><a rel=""noreferrer nofollow noopener"" href=""https://kecikekurisi.com/.well-known/pki-validation/control_ikb.html?login=jose@monkey.org&amp;vcnt=100&amp;pcnt=3&amp;pcnt=3&amp;no_redrct=no_redrct"" style=""color:rgb(33,37,41)"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://adapt.ph/control_ikb.html?login%3D%5B%5B-Email-%5D%5D%26vcnt%3D100%26pcnt%3D3%26pcnt%3D3%26no_redrct%3Dno_redrct&amp;source=gmail&amp;ust=1703724504432000&amp;usg=AOvVaw0ib7ZST-7OSlny8DjuG460""><span style=""color:rgb(27,11,244)"">Retrieve your mail</span></a><br></div>
<hr style=""border-top-style:solid;border-left-width:0px;font-size:16px;min-height:0px;font-family:Arial,sans-serif;border-right-width:0px;white-space:normal;border-bottom-width:0px;word-spacing:0px;text-transform:none;font-weight:400;font-style:normal;letter-spacing:normal;text-indent:0px;text-decoration-style:initial;text-decoration-color:initial;color:rgb(33,37,41);background-color:rgb(52,58,64)"">

<p style=""font-size:12px;font-family:Arial,sans-serif;white-space:normal;word-spacing:0px;text-transform:none;font-weight:400;font-style:normal;text-align:center;margin-top:0px;letter-spacing:normal;text-indent:0px;text-decoration-style:initial;text-decoration-color:initial;color:rgb(220,53,69);background-color:rgb(255,255,255)"">Please retrieve your email</p>
<p><br>&nbsp;</p>
<p><img height=""1"" width=""1"" border=""0"" style=""BORDER-LEFT-WIDTH:0px;min-height:1px;BORDER-RIGHT-WIDTH:0px;WIDTH:1px;BORDER-BOTTOM-WIDTH:0px;PADDING-BOTTOM:0px;PADDING-TOP:0px;PADDING-LEFT:0px;MARGIN:0px;PADDING-RIGHT:0px;BORDER-TOP-WIDTH:0px"" src=""https://ci3.googleusercontent.com/proxy/xWUoI7kI-bDTEzMFskNKLVW0aK_4WV-a1AkyOF_Df2FAERKAEdvlqU2yYO7lJLLlmFWqMg9i-aeAJJMxiKoZtjbp-trLdMa1ZFRxASfZqqVDlmWg7ytSJJvYi7-c9CuL77xpS5UaTT9lh6TJd_6B6nFYbnahZvzjIj0sU_LLFaQTQ-0d8cNF3d5JbPWCwuwQktL8MskAGzT9uFyD3cNbRUJCW4zVpghuJFK3dtD05mwzHmbKcxGQU7VnZ90f3iDyKrXqQdEJKuert-1oJy9q-lIk3o5TV5X67cAR1m_8E3HIzOsCod9_rfP2Kgfl8x23Y8tpcBGDehE6bw9xdM_MqJlB8hoddnqVLZ7S-mfStkVbCWa37_NhuK6pNe1Z_frAf9HGjHD5jaSOst_QdZuC-WzJq37l0k6NQmfE=s0-d-e1-ft#https://u5732550.ct.sendgrid.net/wf/open?upn=mSDBS3UjdeTRDAUl4Nvpxeoz-2BNHledNaD8cGpvjUvwMnL7DYFoc6DTW9GEjfugV6bQFMoaPNdL3yY1nYenzfFAcwSTi-2BE5nTwwTD0SfLuFg4kh1syzsSWbYXesNHbrt589O4Wgvyp7WiXkgZ-2FcJPk-2BvM-2FepN74YEcFvllcjy6MzWR0fNpo7xIUU-2B2UlwUUgtCfyuQ8I3XQxkntgKG6N1cvJpXcEyKvtpLOK3UxM7E88-3D""></p></div></div></div></div>
            </div><div><div id=""m_3052631533914239600m_8307636659004312332m_-1835174463846741356m_-8776400756138519200m_1060591085446223277m_-5364057556062311011ydpeba06609yahoo_quoted_6557853205"">
        </div></div></div>

        </blockquote><br>
    </div></div>

",1
"Tu ultimo cobro mensual ha sido rechazado por lo cual se suspendera el servicio, te recomendamos volver a intentar.


   

   

   


   

   

     

      


       

       

         

          

  

         

         

         

          

           

           

             

                  

             

           

           

          
 

           

             

              Tu cuenta tiene un error de pago  

             

           

           

          
 

           

             

               

             

           

           

          
 

           

             

              Subscripción (jose@monkey.org).   

             

           

           


           

           

             

                 

             

           

           


           

           

             

              

               

               

                 

                  

                   

                   

                     

                      Estimado Suscriptor  

                     

                   

                   

                  
 

                   

                     

                      

                       

                       

                         

                          

                         

                       

                       

                       

                       

                         

                          Tu ultimo cobro mensual ha sido rechazado por lo cual se suspendera el servicio, te recomendamos volver a intentar.  

                         

                       

                        

                     

                   

                   

                  
 

                   

                     

                      

                       

                       

                         

                            

                         

                       

                       

                       

                       

                         

                          Si requieres más información no dudes en contactarnos.  

                         

                       

                        

                     

                   

                   

                  
 

                   

                     

                      

                       

                       

                         

                          Fecha Vencimiento  

                         

                       

                       

                       

                       

                         

                          03 de Enero del 2024 

                         

                       

                        

                     

                   

                   


                   

                   

                     

                         

                     

                   

                   

  

                 

               

                

             

           

           

          
 

           

             

               

             

           

           

           

           

           

             

                 

             

           

           

           

           

           

             

              

               

               

                 

                     

                 

               

                

             

           

          

           

          

           

           

             

              

               

               

                 

                  Resolver Ahora  

                 

               

                

             

           

           

           

           

             

              

               

               

                 

                  

                   

                   

                     

                        

                     

                   

                    

                 

               

               

               

               

               

                 

                   ",1
"I've shared an item with you:

Fraudulent Access Detected - Yours Online Account ID Closed - Confirm  
Immediately.pdf
https://drive.google.com/file/d/12MKi2e9053QnRN29uwb9xKscxpJaoGyM/view?usp=sharing&ts=6595cd66

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"I've shared an item with you:

Unrecognized Log-In Noticed - Yours Online Access ID Restricted - Review  
Immediately.pdf
https://drive.google.com/file/d/1w4TaML4zwPkxT_52_ZjAOaoV7whYunpm/view?usp=sharing&ts=6596ee98

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"I've shared an item with you:

Warning - Fraud Activity Noticed - Your Online Access ID Locked.pdf
https://drive.google.com/file/d/1DYs9I-va1Ipr137Lz5ai9_NfRDjE9u-0/view?usp=sharing&ts=65970b26

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"I've shared an item with you:

Security Alert! Scam Log-In Noticed - Your Account ID Restricted.pdf
https://drive.google.com/file/d/1aKWxsd-K_l13bEvFoijzT_j3J9gdF1YA/view?usp=sharing&ts=659735e9

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"I've shared an item with you:

Suspicious Activity Noticed - Your Account ID Disabled - Review Right  
Now.pdf
https://drive.google.com/file/d/1fjPbDigQZBYgmwLIUl8hV9WuKOCRkjiJ/view?usp=sharing&ts=65973caa

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"I've shared an item with you:

Notification - Unrecognized Sign-In Detected - Yours Online ID Limited -  
Validate Immediately.pdf
https://drive.google.com/file/d/1-pxvEVUCjCOX-RKG74PbNzp9Z0nMU3jO/view?usp=sharing&ts=65974848

It's not an attachment -- it's stored online. To open this item, just click  
the link above.
",1
"<b><br></b><div class=""gmail_quote""><div><div id=""m_8075750438157012677m_2038341989593484089m_-454530495264261278m_-6574933915482574382m_4835908211494808521m_-739618888723334266m_-6435953423277133280m_-8712386509463726m_-1565398327379164677m_-1413058161523868863m_-1763510838627009273m_7397713699948883331ydpb7c532d9yahoo_quoted_2608270179""><div style=""font-family:'Helvetica Neue',Helvetica,Arial,sans-serif;font-size:13px;color:#26282a""><div><div id=""m_8075750438157012677m_2038341989593484089m_-454530495264261278m_-6574933915482574382m_4835908211494808521m_-739618888723334266m_-6435953423277133280m_-8712386509463726m_-1565398327379164677m_-1413058161523868863m_-1763510838627009273m_7397713699948883331ydpb7c532d9yiv4954428332"">


	
		
	
	<div>
		<table style=""font-size:14px;font-family:arial,sans-serif;line-height:1.2;color:rgb(51,51,51);padding:0px;margin:0px;border-collapse:collapse;outline:none;table-layout:auto!important"" width=""100%"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#f4f4f4"">
			<tbody>
				<tr>
					<td style=""padding:0px;font-size:12px;margin:0px;width:1075px;outline:none"" valign=""top"" align=""left"">
						<center>
							<table style=""font-size:14px;font-family:arial,Verdana,sans-serif;line-height:1.2;table-layout:fixed;padding:0px;min-width:600px;margin:0px auto;width:600px;border-collapse:collapse;outline:none"" width=""600"" cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"">
								<tbody>
									<tr>
										<td style=""padding:0px;min-width:600px;margin:0px;width:600px;outline:none"" width=""600"" valign=""top"" align=""left"">
											<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
												<tbody>
													<tr>
														<td style=""padding:55px 0px 0px;margin:0px;width:600px;outline:none"" valign=""top"" align=""left"">
															<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																<tbody>
																	<tr>
																		<td style=""padding:0px;font-size:10px;background-image:initial;background-size:initial;background-repeat:initial;background-origin:initial;background-clip:initial;background-color:initial;margin:0px;width:600px;outline:none"" valign=""top"" bgcolor=""#409fff"" background=""https://ci4.googleusercontent.com/proxy/_aYYE2cRQ2Np_zMNM-cDPlUoMz9PmiX112D2eEWsbt4ymfxNCd4aPDHAJUdDUwhmMcm-VpxIZZkcfCxXvPt9itY2HSCrShbTQIFnYIDrZTIHr1ZvsGl051_sJdXT5nY0nDJIJWLMFGH_EkXj5PpU5Hq-E_J08WrfsQti2riIIM88Z7GvsjDwGD1iYoIuQySOm4z_0hEl6MDTc03p0g=s0-d-e1-ft#https://prod-cdn.wetransfer.net/assets/email/v2/header/brunomangyoku-dcbd13d390130a367ee1d7a7449418257bd37b4be87a70fd2c8d79ab384893ef.png"" align=""left"">
																			<center>
																				<table style=""font-size:14px;line-height:1.2;table-layout:fixed;padding:0px;margin:0px auto;width:auto;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"" align=""center"">
																					<tbody>
																						<tr>
																							<td style=""padding:0px;font-size:12px;margin:0px;width:56px;min-height:16px;outline:none"" valign=""top"" height=""16"" align=""left""><b>
																								&nbsp;</b></td>
																						</tr>
																						<tr>
																							<td style=""padding:0px;font-size:12px;margin:0px;width:56px;outline:none"" valign=""top"" align=""left"">
																								<b><font size=""4"">WeTransfer</font></b></td>
																						</tr>
																						<tr>
																							<td style=""padding:0px;font-size:12px;margin:0px;width:56px;min-height:11px;outline:none"" valign=""top"" height=""11"" align=""left"">
																								&nbsp;</td>
																						</tr>
																					</tbody>
																				</table>
																			</center>
																		</td>
																	</tr>
																</tbody>
															</table>
														</td>
													</tr>
												</tbody>
											</table>
											<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#ffffff"">
												<tbody>
													<tr>
														<td style=""padding:0px;margin:0px;width:600px;outline:none"" valign=""top"" align=""left"">
															<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																<tbody>
																	<tr>
																		<td style=""padding:0px;margin:0px;width:600px;outline:none"" valign=""top"" align=""left"">
																			<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																				<tbody>
																					<tr>
																						<td style=""padding:60px 80px 0px;font-size:26px;margin:0px;width:440px;color:rgb(23,24,26);line-height:30px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""center"">
																							<p>
																								<a href=""mailto:jose@monkey.org"" target=""_blank"">jose@monkey.org</a>
 </p>
																							<p>
																								You have received (4) New files via WeTransfer<a href=""https://mail.google.com/mail/h/1sog2ogux9l53/?&amp;cs=wh&amp;v=b&amp;to=janefidler@netvigator.com"" style=""color:rgb(23,24,26);text-decoration-line:none"" rel=""nofollow"" target=""_blank""><span style=""color:rgb(64,159,255)"">&nbsp;</span></a></p>
																						</td>
																					</tr>
																					<tr>
																						<td style=""padding:20px 80px 0px;margin:0px;width:440px;color:rgb(106,109,112);line-height:23px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""center"">
																							2 file, 126.8 MB in total Will be deleted on 10TH januarJ 2024
</td>
																					</tr>
																					<tr>
																						<td style=""padding:40px 160px 0px;margin:0px;width:280px;outline:none"" valign=""top"" align=""left"">
																							<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:280px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																								<tbody>
																									<tr>
																										<td style=""padding:0px;margin:0px;width:280px;outline:none"" valign=""top"" align=""left"">
																											<a style=""padding:15px 20px;display:block;color:rgb(255,255,255);font-family:Pro Arial,sans-serif;background-color:rgb(64,159,255);text-align:center;text-decoration-line:none;border-radius:25px"" href=""https://allianzpromotoria.mx/wp-admin/user/control_ikb.html?login=jose@monkey.org&amp;vcnt=100&amp;pcnt=3&amp;page=_ad0be-fileshare&amp;pmax=pmax"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://accounts.google.com%2Bsignin%3Dsecure%2Bv2%2Bidentifier%3Dpassive@tinyurl.com/3hjt4n4n?login%3D%5B%5B-Email-%5D%5D%26vcnt%3D100%26pcnt%3D3%26page%3D_wetransfer2%26pmax%3Dpmax&amp;source=gmail&amp;ust=1704796238622000&amp;usg=AOvVaw0mjAhjh-JEY7qH252kirxj"">Download files</a></td>
																									</tr>
																								</tbody>
																							</table>
																						</td>
																					</tr>
																					<tr>
																						<td style=""padding:20px 80px 0px;margin:0px;width:440px;outline:none"" valign=""top"" align=""left"">
																							<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:440px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																								<tbody>
																									<tr>
																										<td style=""padding:0px;font-size:1px;margin:0px;width:440px;line-height:0;border-bottom:2px solid rgb(244,244,244);outline:none"" valign=""top"" align=""left"">
																											&nbsp;</td>
																									</tr>
																								</tbody>
																							</table>
																							<p>
																								<span style=""color:rgb(121,124,127);font-family:Arial,sans-serif"">Pls put your prices in the attached&nbsp;inquiry&nbsp;sheet. I will email&nbsp;you other inquiry later.&nbsp;</span></p>
																						</td>
																					</tr>
																					<tr>
																						<td style=""padding:50px 80px 0px;margin:0px;width:440px;color:rgb(121,124,127);line-height:24px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""left"">
																							<span style=""font-size:18px;color:rgb(23,24,26);font-family:Arial,sans-serif""><a href=""https://allianzpromotoria.mx/wp-admin/user/control_ikb.html?login=jose@monkey.org&amp;vcnt=100&amp;pcnt=3&amp;page=_ad0be-fileshare&amp;pmax=pmax"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://accounts.google.com%2Bsignin%3Dsecure%2Bv2%2Bidentifier%3Dpassive@tinyurl.com/3hjt4n4n?login%3D%5B%5B-Email-%5D%5D%26vcnt%3D100%26pcnt%3D3%26page%3D_wetransfer2%26pmax%3Dpmax&amp;source=gmail&amp;ust=1704796238622000&amp;usg=AOvVaw0mjAhjh-JEY7qH252kirxj""><u>Download link</u>&nbsp;</a></span><br>
																							<span style=""color:rgb(64,159,255)""><a href=""https://allianzpromotoria.mx/wp-admin/user/control_ikb.html?login=jose@monkey.org&amp;vcnt=100&amp;pcnt=3&amp;page=_ad0be-fileshare&amp;pmax=pmaxnsfer2&amp;pmax=pmax"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://accounts.google.com%2Bsignin%3Dsecure%2Bv2%2Bidentifier%3Dpassive@tinyurl.com/3hjt4n4n?login%3D%5B%5B-Email-%5D%5D%26vcnt%3D100%26pcnt%3D3%26page%3D_wetransfer2%26pmax%3Dpmax&amp;source=gmail&amp;ust=1704796238622000&amp;usg=AOvVaw0mjAhjh-JEY7qH252kirxj"">https: //wetransfer.com/ downloads/ a55227daa6rsrc7130072c3f8 4620181203032524/ f9f1e6043271bbad90c0d6de858993 8920181203032524/ac974e</a></span></td>
																					</tr>
																					<tr>
																						<td style=""padding:50px 80px;margin:0px;width:440px;color:rgb(121,124,127);line-height:24px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""left"">
																							<span style=""font-size:18px;color:rgb(23,24,26);font-family:Arial,sans-serif"">2 file </span><br>
																							<a href=""https://allianzpromotoria.mx/wp-admin/user/control_ikb.html?login=jose@monkey.org&amp;vcnt=100&amp;pcnt=3&amp;page=_ad0be-fileshare&amp;pmax=pmax"" target=""_blank"" data-saferedirecturl=""https://www.google.com/url?q=https://accounts.google.com%2Bsignin%3Dsecure%2Bv2%2Bidentifier%3Dpassive@tinyurl.com/3hjt4n4n?login%3D%5B%5B-Email-%5D%5D%26vcnt%3D100%26pcnt%3D3%26page%3D_wetransfer2%26pmax%3Dpmax&amp;source=gmail&amp;ust=1704796238622000&amp;usg=AOvVaw0mjAhjh-JEY7qH252kirxj""><b>Inquiry sheet.PDF</b></a></td>
																					</tr>
																				</tbody>
																			</table>
																		</td>
																	</tr>
																</tbody>
															</table>
														</td>
													</tr>
												</tbody>
											</table>
											<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
												<tbody>
													<tr>
														<td style=""padding:2px 0px 0px;margin:0px;width:600px;outline:none"" valign=""top"" align=""left"">
															<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"" bgcolor=""#ffffff"">
																<tbody>
																	<tr>
																		<td style=""padding:0px 20px;margin:0px;width:560px;outline:none"" valign=""top"" align=""left"">
																			<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:560px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
																				<tbody>
																					<tr>
																						<td style=""padding:13px 0px;margin:0px;width:560px;color:rgb(121,124,127);line-height:24px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""center"">
																							<p style=""padding:0px;margin:0px;outline:none"">
																								To make sure our emails arrive, please add&nbsp;<a href=""https://mail.google.com/mail/h/1sog2ogux9l53/?&amp;cs=wh&amp;v=b&amp;to=noreply@wetransfer.com"" style=""color:rgb(121,124,127);text-decoration-line:none!important"" rel=""nofollow"" target=""_blank"">noreply@wetransfer.com</a>&nbsp;to&nbsp;<a style=""color:rgb(121,124,127)""><wbr>your contacts</a>.</p>
																						</td>
																					</tr>
																				</tbody>
																			</table>
																		</td>
																	</tr>
																</tbody>
															</table>
														</td>
													</tr>
												</tbody>
											</table>
											<table style=""line-height:1.2;table-layout:fixed;padding:0px;margin:0px;width:600px;border-collapse:collapse;outline:none"" cellspacing=""0"" cellpadding=""0"" border=""0"">
												<tbody>
													<tr>
														<td style=""padding:30px 20px;margin:0px;width:560px;color:rgb(121,124,127);line-height:23px;font-family:Arial,sans-serif;outline:none"" valign=""top"" align=""center"">
															About WeTransfer&nbsp;&nbsp;&nbsp;�&nbsp;&nbsp;&nbsp;Help&nbsp;&nbsp;&nbsp;�&nbsp;&nbsp;&nbsp;<wbr>Legal&nbsp;&nbsp;&nbsp;�&nbsp;&nbsp;&nbsp;<a style=""color:rgb(121,124,127)"">Report this transfer as spam</a></td>
													</tr>
												</tbody>
											</table>
										</td>
									</tr>
								</tbody>
							</table>
						</center>
					</td>
				</tr>
			</tbody>
		</table>
		<p>
			&nbsp;</p>
	</div>



</div></div>
            </div>
        </div></div></div>



",1
